des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
1.169999999999999929e+00,-9.082066917217716806e-02,-4.215679519371136053e-01,-2.147655706310723778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.179999999999999938e+00,-9.498060785416542751e-02,-4.102918787137783130e-01,-2.072718768347748541e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.189999999999999947e+00,-9.902249446037572622e-02,-3.979621334511937447e-01,-1.993421238800714423e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e+00,-1.029358463093273529e-01,-3.845898550405594252e-01,-1.909902413925614328e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.209999999999999964e+00,-1.067103047662138204e-01,-3.701887074349983764e-01,-1.822310348307962791e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.219999999999999973e+00,-1.103356604660907792e-01,-3.547748733842476243e-01,-1.730801513039681994e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.229999999999999982e+00,-1.138018784444143755e-01,-3.383670421919459104e-01,-1.635540569357598617e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.239999999999999991e+00,-1.170991231181342657e-01,-3.209863920922571556e-01,-1.536700068979963973e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+00,-1.202177830627708111e-01,-3.026565670942731878e-01,-1.434460054476402735e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.260000000000000009e+00,-1.231484955288918021e-01,-2.834036480427400972e-01,-1.329007791977382391e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.270000000000000018e+00,-1.258821706435577781e-01,-2.632561185763623302e-01,-1.220537426570561523e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000027e+00,-1.284100152449278998e-01,-2.422448258271703014e-01,-1.109249523817738003e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,-1.307235562959286335e-01,-2.204029355594517847e-01,-9.953508330056423659e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e+00,-1.328146638265785551e-01,-1.977658827867094515e-01,-8.790538345796004849e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.310000000000000053e+00,-1.346755733561716128e-01,-1.743713171509088666e-01,-7.605762927866588363e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.320000000000000062e+00,-1.362989077437735952e-01,-1.502590432295465295e-01,-6.401409897809445804e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.330000000000000071e+00,-1.376776984206347643e-01,-1.254709566339105020e-01,-5.179751839773152206e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.340000000000000080e+00,-1.388054059575734023e-01,-1.000509749266445259e-01,-3.943102959308887601e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000089e+00,-1.396759399207059271e-01,-7.404496439333910218e-02,-2.693814460626204471e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.360000000000000098e+00,-1.402836779716863103e-01,-4.750066219169435389e-02,-1.434269998521865014e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
